model_name,model_path,pretrained_weights,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,n_train,n_val,n_test,best_epoch,best_val_loss,test_loss,test_ang_error,runtime_sec,stopped_early
gen_loso_001,results\models\gen_loso_001.pth,,general_loso,,001,,scratch,106541,638,957,3,11.867900848388672,11.358717918395996,11.358717918395996,225.61711883544922,True
gen_loso_002,results\models\gen_loso_002.pth,,general_loso,,002,,scratch,105769,946,1421,3,5.665263891220093,5.38788644472758,5.38788644472758,223.53646087646484,True
gen_loso_003,results\models\gen_loso_003.pth,,general_loso,,003,,scratch,105831,922,1383,1,11.850138902664185,11.886453541842373,11.886453541842373,179.09630846977234,True
gen_loso_004,results\models\gen_loso_004.pth,,general_loso,,004,,scratch,105715,968,1453,2,10.516744017601013,10.49570345878601,10.49570345878601,201.37658953666687,True
gen_loso_005,results\models\gen_loso_005.pth,,general_loso,,005,,scratch,105702,973,1461,11,7.549268901348114,7.430896123250325,7.430896123250325,404.2166335582733,True
gen_loso_006,results\models\gen_loso_006.pth,,general_loso,,006,,scratch,105753,953,1430,3,9.717090725898743,9.585318088531494,9.585318088531494,227.41505002975464,True
gen_loso_007,results\models\gen_loso_007.pth,,general_loso,,007,,scratch,105727,963,1446,1,11.713359713554382,11.498441775639852,11.498441775639852,178.57626247406006,True
gen_loso_008,results\models\gen_loso_008.pth,,general_loso,,008,,scratch,105793,937,1406,20,6.8607869148254395,6.964759826660156,6.964759826660156,603.0805997848511,True
gen_loso_009,results\models\gen_loso_009.pth,,general_loso,,009,,scratch,105880,902,1354,2,9.497897863388062,9.36851778897372,9.36851778897372,200.58563327789307,True
gen_loso_010,results\models\gen_loso_010.pth,,general_loso,,010,,scratch,105716,968,1452,3,7.77111142873764,7.8582513729731245,7.8582513729731245,223.06472492218018,True
gen_loso_011,results\models\gen_loso_011.pth,,general_loso,,011,,scratch,105709,970,1457,1,11.86269760131836,11.638062953948975,11.638062953948975,178.05287861824036,True
gen_loso_012,results\models\gen_loso_012.pth,,general_loso,,012,,scratch,105719,966,1451,5,7.881516396999359,7.899888873100281,7.899888873100281,267.69242453575134,True
gen_loso_013,results\models\gen_loso_013.pth,,general_loso,,013,,scratch,105751,954,1431,1,11.871271014213562,11.729093392690023,11.729093392690023,178.06582236289978,True
gen_loso_014,results\models\gen_loso_014.pth,,general_loso,,014,,scratch,105789,938,1409,2,9.49778425693512,9.669209559758505,9.669209559758505,200.50217986106873,True
gen_loso_015,results\models\gen_loso_015.pth,,general_loso,,015,,scratch,105702,973,1461,2,11.711259961128235,11.606923659642538,11.606923659642538,199.9234743118286,True
gen_loso_016,results\models\gen_loso_016.pth,,general_loso,,016,,scratch,105857,911,1368,2,12.093008399009705,11.698261607776988,11.698261607776988,200.42457842826843,True
gen_loso_017,results\models\gen_loso_017.pth,,general_loso,,017,,scratch,105726,964,1446,1,11.776562333106995,11.510305484135946,11.510305484135946,178.37933731079102,True
gen_loso_018,results\models\gen_loso_018.pth,,general_loso,,018,,scratch,105829,922,1385,3,11.610761404037476,11.522241592407227,11.522241592407227,223.02197909355164,True
gen_loso_019,results\models\gen_loso_019.pth,,general_loso,,019,,scratch,105880,902,1354,2,11.711479544639587,11.708451444452459,11.708451444452459,200.20763182640076,True
gen_loso_020,results\models\gen_loso_020.pth,,general_loso,,020,,scratch,105843,917,1376,7,8.752954006195068,8.782462813637473,8.782462813637473,312.80256628990173,True
gen_loso_021,results\models\gen_loso_021.pth,,general_loso,,021,,scratch,105749,954,1433,1,11.637082576751709,11.521824359893799,11.521824359893799,177.76662182807922,True
gen_loso_022,results\models\gen_loso_022.pth,,general_loso,,022,,scratch,105721,966,1449,4,11.617449641227722,11.458308617273966,11.458308617273966,245.6315050125122,True
gen_loso_023,results\models\gen_loso_023.pth,,general_loso,,023,,scratch,105814,928,1394,5,7.198497831821442,7.255241784182462,7.255241784182462,267.97238326072693,True
gen_loso_024,results\models\gen_loso_024.pth,,general_loso,,024,,scratch,105735,960,1441,3,11.36398696899414,11.343655586242676,11.343655586242676,222.2478563785553,True
gen_loso_025,results\models\gen_loso_025.pth,,general_loso,,025,,scratch,105703,973,1460,4,11.335902690887451,11.467445294062296,11.467445294062296,244.73773097991943,True
gen_loso_026,results\models\gen_loso_026.pth,,general_loso,,026,,scratch,105761,950,1425,11,3.477249354124069,3.4042537013689675,3.4042537013689675,401.97065448760986,True
gen_loso_027,results\models\gen_loso_027.pth,,general_loso,,027,,scratch,105701,974,1461,13,7.538491129875183,7.653169751167297,7.653169751167297,446.57563281059265,True
gen_loso_028,results\models\gen_loso_028.pth,,general_loso,,028,,scratch,105775,944,1417,2,11.479591608047485,11.357767264048258,11.357767264048258,200.57465362548828,True
gen_loso_029,results\models\gen_loso_029.pth,,general_loso,,029,,scratch,105764,948,1424,8,6.213250935077667,6.031302968660991,6.031302968660991,335.07759642601013,True
gen_loso_030,results\models\gen_loso_030.pth,,general_loso,,030,,scratch,105728,963,1445,2,10.28611171245575,10.272011359532675,10.272011359532675,200.35066866874695,True
gen_loso_031,results\models\gen_loso_031.pth,,general_loso,,031,,scratch,105771,946,1419,2,7.734319686889648,7.686344861984253,7.686344861984253,200.03633666038513,True
gen_loso_032,results\models\gen_loso_032.pth,,general_loso,,032,,scratch,105739,958,1439,3,6.692019939422607,6.725907524426778,6.725907524426778,222.71562504768372,True
gen_loso_033,results\models\gen_loso_033.pth,,general_loso,,033,,scratch,105711,970,1455,7,1.8846014887094498,1.958550324042638,1.958550324042638,312.4364016056061,True
gen_loso_034,results\models\gen_loso_034.pth,,general_loso,,034,,scratch,105839,918,1379,3,8.999144196510315,8.941489219665527,8.941489219665527,222.84060716629028,True
gen_loso_035,results\models\gen_loso_035.pth,,general_loso,,035,,scratch,105848,915,1373,3,11.742871642112732,11.512249426408248,11.512249426408248,223.86206793785095,True
gen_loso_036,results\models\gen_loso_036.pth,,general_loso,,036,,scratch,105714,968,1454,5,2.931646019220352,2.839013377825419,2.839013377825419,267.9474663734436,True
gen_loso_037,results\models\gen_loso_037.pth,,general_loso,,037,,scratch,105816,928,1392,4,9.178383588790894,8.962830630215732,8.962830630215732,245.49050283432007,True
gen_loso_038,results\models\gen_loso_038.pth,,general_loso,,038,,scratch,105862,909,1365,2,6.766809403896332,6.797559044577858,6.797559044577858,200.64458966255188,True
