model_name,model_path,pretrained_weights,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,n_train,n_val,n_test,best_epoch,best_val_loss,test_loss,test_ang_error,runtime_sec,stopped_early
gen_loto_0,results\models\gen_loto_0.pth,,general_loto,,,0,scratch,92562,1543,2316,17,2.4562002328725963,2.465944252516094,2.465944252516094,462.9410243034363,True
gen_loto_1,results\models\gen_loto_1.pth,,general_loto,,,1,scratch,92574,1538,2309,26,1.5632985601058373,1.6595072558051662,1.6595072558051662,635.7866940498352,True
gen_loto_2,results\models\gen_loto_2.pth,,general_loto,,,2,scratch,92546,1550,2325,20,1.6797828307518592,1.5691043765921342,1.5691043765921342,521.0514421463013,True
gen_loto_3,results\models\gen_loto_3.pth,,general_loto,,,3,scratch,92556,1546,2319,20,1.275773653617272,1.3171703439009816,1.3171703439009816,524.9045441150665,True
gen_loto_4,results\models\gen_loto_4.pth,,general_loto,,,4,scratch,92521,1560,2340,26,1.9523248030589178,2.0680914113396094,2.0680914113396094,639.4995827674866,True
gen_loto_5,results\models\gen_loto_5.pth,,general_loto,,,5,scratch,92536,1554,2331,40,1.3825116616029005,1.3300285558951528,1.3300285558951528,787.3676567077637,False
gen_loto_6,results\models\gen_loto_6.pth,,general_loto,,,6,scratch,92544,1550,2327,26,1.300289172392625,1.284518888122157,1.284518888122157,634.2185382843018,True
gen_loto_7,results\models\gen_loto_7.pth,,general_loto,,,7,scratch,92567,1541,2313,17,1.4596691956886878,1.4254192866777118,1.4254192866777118,462.018691778183,True
gen_loto_8,results\models\gen_loto_8.pth,,general_loto,,,8,scratch,92562,1543,2316,32,1.064778167467851,1.18027442066293,1.18027442066293,750.1243162155151,True
gen_loto_9,results\models\gen_loto_9.pth,,general_loto,,,9,scratch,92549,1548,2324,10,1.9848785950587347,2.007221140359577,2.007221140359577,327.95724725723267,True
gen_loto_10,results\models\gen_loto_10.pth,,general_loto,,,10,scratch,92526,1558,2337,33,1.484446562253512,1.3692618545733,1.3692618545733,768.9803667068481,True
gen_loto_11,results\models\gen_loto_11.pth,,general_loto,,,11,scratch,92592,1531,2298,12,1.3881380259990692,1.3722027805116441,1.3722027805116441,366.7869153022766,True
gen_loto_12,results\models\gen_loto_12.pth,,general_loto,,,12,scratch,92587,1533,2301,2,1.5867288410663605,1.6048573189311557,1.6048573189311557,174.3898286819458,True
gen_loto_13,results\models\gen_loto_13.pth,,general_loto,,,13,scratch,92593,1531,2297,36,1.2584163844585419,1.2265151606665716,1.2265151606665716,788.1575846672058,False
gen_loto_14,results\models\gen_loto_14.pth,,general_loto,,,14,scratch,92553,1547,2321,15,2.0026807693334727,2.050461398927789,2.050461398927789,424.1825954914093,True
gen_loto_15,results\models\gen_loto_15.pth,,general_loto,,,15,scratch,92563,1543,2315,29,1.5685367584228516,1.5664915222870677,1.5664915222870677,693.9571807384491,True
gen_loto_16,results\models\gen_loto_16.pth,,general_loto,,,16,scratch,92533,1555,2333,35,1.239856949219337,1.2913416184877093,1.2913416184877093,790.036821603775,False
gen_loto_17,results\models\gen_loto_17.pth,,general_loto,,,17,scratch,92611,1524,2286,28,1.2247998515764873,1.2723753650983174,1.2723753650983174,674.9209704399109,True
gen_loto_18,results\models\gen_loto_18.pth,,general_loto,,,18,scratch,92584,1534,2303,26,1.348456511894862,1.4070548017819722,1.4070548017819722,636.3592844009399,True
gen_loto_19,results\models\gen_loto_19.pth,,general_loto,,,19,scratch,92595,1530,2296,15,1.8141005039215088,1.9148208896319072,1.9148208896319072,424.4937975406647,True
gen_loto_20,results\models\gen_loto_20.pth,,general_loto,,,20,scratch,92559,1544,2318,21,1.983851515329801,2.0920662754460384,2.0920662754460384,539.6517133712769,True
gen_loto_21,results\models\gen_loto_21.pth,,general_loto,,,21,scratch,92592,1531,2298,37,1.5616317987442017,1.6171721816062927,1.6171721816062927,789.1651389598846,False
gen_loto_22,results\models\gen_loto_22.pth,,general_loto,,,22,scratch,92588,1533,2300,26,1.3115102251370747,1.3097664846314325,1.3097664846314325,635.799111366272,True
gen_loto_23,results\models\gen_loto_23.pth,,general_loto,,,23,scratch,92573,1539,2309,20,1.6745390525230994,1.6777167696701853,1.6777167696701853,520.7109088897705,True
gen_loto_24,results\models\gen_loto_24.pth,,general_loto,,,24,scratch,92538,1553,2330,23,1.9132507214179406,1.9504927020323903,1.9504927020323903,578.302725315094,True
