model_name,model_path,pretrained_weights,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,n_train,n_val,n_test,best_epoch,best_val_loss,test_loss,test_ang_error,runtime_sec,stopped_early
subject_spec_scratch_002_0,results\models\subject_spec_scratch_002_0.pth,,subject_spec_scratch,002,,0,scratch,2270,38,59,3,15.623032569885254,15.624574661254883,15.624574661254883,81.44746351242065,True
subject_spec_scratch_002_1,results\models\subject_spec_scratch_002_1.pth,,subject_spec_scratch,002,,1,scratch,2270,38,59,4,9.873042106628418,9.873680114746094,9.873680114746094,87.29317498207092,True
subject_spec_scratch_002_2,results\models\subject_spec_scratch_002_2.pth,,subject_spec_scratch,002,,2,scratch,2275,36,56,5,8.358662605285645,8.35498332977295,8.35498332977295,89.72873544692993,True
subject_spec_scratch_002_3,results\models\subject_spec_scratch_002_3.pth,,subject_spec_scratch,002,,3,scratch,2270,38,59,1,11.395573616027832,11.3961820602417,11.3961820602417,61.182183027267456,True
subject_spec_scratch_002_4,results\models\subject_spec_scratch_002_4.pth,,subject_spec_scratch,002,,4,scratch,2270,38,59,1,15.937070846557617,15.9301176071167,15.9301176071167,61.14244246482849,True
subject_spec_scratch_002_5,results\models\subject_spec_scratch_002_5.pth,,subject_spec_scratch,002,,5,scratch,2269,39,59,2,15.07763385772705,15.083782196044922,15.083782196044922,67.9211893081665,True
subject_spec_scratch_002_6,results\models\subject_spec_scratch_002_6.pth,,subject_spec_scratch,002,,6,scratch,2270,38,59,2,6.278162002563477,6.280823230743408,6.280823230743408,70.19588971138,True
subject_spec_scratch_002_7,results\models\subject_spec_scratch_002_7.pth,,subject_spec_scratch,002,,7,scratch,2270,38,59,3,3.6691195964813232,3.669116497039795,3.669116497039795,75.14054584503174,True
subject_spec_scratch_002_8,results\models\subject_spec_scratch_002_8.pth,,subject_spec_scratch,002,,8,scratch,2278,35,54,3,8.54003620147705,8.54259967803955,8.54259967803955,75.20449638366699,True
subject_spec_scratch_002_9,results\models\subject_spec_scratch_002_9.pth,,subject_spec_scratch,002,,9,scratch,2278,35,54,1,13.757841110229492,13.756239891052246,13.756239891052246,60.617515325546265,True
subject_spec_scratch_002_10,results\models\subject_spec_scratch_002_10.pth,,subject_spec_scratch,002,,10,scratch,2269,39,59,3,13.170231819152832,13.170902252197266,13.170902252197266,76.18870830535889,True
subject_spec_scratch_002_11,results\models\subject_spec_scratch_002_11.pth,,subject_spec_scratch,002,,11,scratch,2270,38,59,3,6.539153575897217,6.54133939743042,6.54133939743042,75.48286390304565,True
subject_spec_scratch_002_12,results\models\subject_spec_scratch_002_12.pth,,subject_spec_scratch,002,,12,scratch,2275,36,56,9,0.2506221532821655,0.2629912495613098,0.2629912495613098,118.52527046203613,True
subject_spec_scratch_002_13,results\models\subject_spec_scratch_002_13.pth,,subject_spec_scratch,002,,13,scratch,2270,38,59,1,2.353943347930908,2.3582680225372314,2.3582680225372314,60.72901725769043,True
subject_spec_scratch_002_14,results\models\subject_spec_scratch_002_14.pth,,subject_spec_scratch,002,,14,scratch,2275,36,56,1,12.596802711486816,12.600911140441895,12.600911140441895,60.45462703704834,True
subject_spec_scratch_002_15,results\models\subject_spec_scratch_002_15.pth,,subject_spec_scratch,002,,15,scratch,2270,38,59,2,14.19954776763916,14.199177742004395,14.199177742004395,67.87145709991455,True
subject_spec_scratch_002_16,results\models\subject_spec_scratch_002_16.pth,,subject_spec_scratch,002,,16,scratch,2278,35,54,14,7.832552433013916,7.833264350891113,7.833264350891113,153.8400011062622,True
subject_spec_scratch_002_17,results\models\subject_spec_scratch_002_17.pth,,subject_spec_scratch,002,,17,scratch,2290,30,47,22,2.283442735671997,2.2674477100372314,2.2674477100372314,214.13188457489014,True
subject_spec_scratch_002_18,results\models\subject_spec_scratch_002_18.pth,,subject_spec_scratch,002,,18,scratch,2269,39,59,1,1.8923635482788086,1.8872569799423218,1.8872569799423218,60.35734820365906,True
