model_name,model_path,pretrained_weights,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,transfer_mode,n_train,n_val,n_test,best_epoch,best_val_loss,test_loss,test_ang_error,runtime_sec,stopped_early
subject_spec_transfer_head_only_002_0,results\models\subject_spec_transfer_head_only_002_0.pth,results\models\gen_loto_0.pth,subject_spec_transfer,002,,0,transfer,head_only,2270,38,59,1,1.639928936958313,1.6484631299972534,1.6484631299972534,13.152746438980103,True
subject_spec_transfer_head_only_002_1,results\models\subject_spec_transfer_head_only_002_1.pth,results\models\gen_loto_1.pth,subject_spec_transfer,002,,1,transfer,head_only,2270,38,59,9,0.8249261975288391,0.6582735776901245,0.6582735776901245,14.331329584121704,True
subject_spec_transfer_head_only_002_2,results\models\subject_spec_transfer_head_only_002_2.pth,results\models\gen_loto_2.pth,subject_spec_transfer,002,,2,transfer,head_only,2275,36,56,8,0.5279467701911926,0.41431865096092224,0.41431865096092224,14.63883090019226,True
subject_spec_transfer_head_only_002_3,results\models\subject_spec_transfer_head_only_002_3.pth,results\models\gen_loto_3.pth,subject_spec_transfer,002,,3,transfer,head_only,2270,38,59,1,1.1714664697647095,1.127114176750183,1.127114176750183,12.556212902069092,True
subject_spec_transfer_head_only_002_4,results\models\subject_spec_transfer_head_only_002_4.pth,results\models\gen_loto_4.pth,subject_spec_transfer,002,,4,transfer,head_only,2270,38,59,6,1.3279776573181152,1.1968542337417603,1.1968542337417603,13.791233539581299,True
subject_spec_transfer_head_only_002_5,results\models\subject_spec_transfer_head_only_002_5.pth,results\models\gen_loto_5.pth,subject_spec_transfer,002,,5,transfer,head_only,2269,39,59,16,0.35398444533348083,0.33848893642425537,0.33848893642425537,16.01575255393982,True
subject_spec_transfer_head_only_002_6,results\models\subject_spec_transfer_head_only_002_6.pth,results\models\gen_loto_6.pth,subject_spec_transfer,002,,6,transfer,head_only,2270,38,59,13,0.5578938722610474,0.5756657719612122,0.5756657719612122,15.256654262542725,True
subject_spec_transfer_head_only_002_7,results\models\subject_spec_transfer_head_only_002_7.pth,results\models\gen_loto_7.pth,subject_spec_transfer,002,,7,transfer,head_only,2270,38,59,11,0.7259502410888672,0.8161166310310364,0.8161166310310364,14.95176076889038,True
subject_spec_transfer_head_only_002_8,results\models\subject_spec_transfer_head_only_002_8.pth,results\models\gen_loto_8.pth,subject_spec_transfer,002,,8,transfer,head_only,2278,35,54,5,1.1433157920837402,1.145426630973816,1.145426630973816,14.137810468673706,True
subject_spec_transfer_head_only_002_9,results\models\subject_spec_transfer_head_only_002_9.pth,results\models\gen_loto_9.pth,subject_spec_transfer,002,,9,transfer,head_only,2278,35,54,8,1.6418266296386719,1.4113539457321167,1.4113539457321167,14.424720048904419,True
