model_name,model_path,pretrained_weights,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,transfer_mode,n_train,n_val,n_test,best_epoch,best_val_loss,test_loss,test_ang_error,runtime_sec,stopped_early
subject_spec_transfer_last_conv_002_0,results\models\subject_spec_transfer_last_conv_002_0.pth,results\models\gen_loto_0.pth,subject_spec_transfer,002,,0,transfer,last_conv,2270,38,59,1,1.169682502746582,1.1727186441421509,1.1727186441421509,38.016599893569946,True
subject_spec_transfer_last_conv_002_1,results\models\subject_spec_transfer_last_conv_002_1.pth,results\models\gen_loto_1.pth,subject_spec_transfer,002,,1,transfer,last_conv,2270,38,59,4,0.7141293287277222,0.576134443283081,0.576134443283081,49.58987784385681,True
subject_spec_transfer_last_conv_002_2,results\models\subject_spec_transfer_last_conv_002_2.pth,results\models\gen_loto_2.pth,subject_spec_transfer,002,,2,transfer,last_conv,2275,36,56,3,0.52386873960495,0.42931458353996277,0.42931458353996277,45.11946249008179,True
subject_spec_transfer_last_conv_002_3,results\models\subject_spec_transfer_last_conv_002_3.pth,results\models\gen_loto_3.pth,subject_spec_transfer,002,,3,transfer,last_conv,2270,38,59,2,0.6609125137329102,0.6038694381713867,0.6038694381713867,40.3877956867218,True
subject_spec_transfer_last_conv_002_4,results\models\subject_spec_transfer_last_conv_002_4.pth,results\models\gen_loto_4.pth,subject_spec_transfer,002,,4,transfer,last_conv,2270,38,59,2,1.6904933452606201,1.592924952507019,1.592924952507019,39.882187366485596,True
subject_spec_transfer_last_conv_002_5,results\models\subject_spec_transfer_last_conv_002_5.pth,results\models\gen_loto_5.pth,subject_spec_transfer,002,,5,transfer,last_conv,2269,39,59,19,0.2542676627635956,0.24283871054649353,0.24283871054649353,100.09178233146667,True
subject_spec_transfer_last_conv_002_6,results\models\subject_spec_transfer_last_conv_002_6.pth,results\models\gen_loto_6.pth,subject_spec_transfer,002,,6,transfer,last_conv,2270,38,59,8,0.6475256681442261,0.6313639283180237,0.6313639283180237,59.32983875274658,True
subject_spec_transfer_last_conv_002_7,results\models\subject_spec_transfer_last_conv_002_7.pth,results\models\gen_loto_7.pth,subject_spec_transfer,002,,7,transfer,last_conv,2270,38,59,5,0.5758967995643616,0.6676421165466309,0.6676421165466309,50.428181648254395,True
subject_spec_transfer_last_conv_002_8,results\models\subject_spec_transfer_last_conv_002_8.pth,results\models\gen_loto_8.pth,subject_spec_transfer,002,,8,transfer,last_conv,2278,35,54,6,0.9463904500007629,0.888408362865448,0.888408362865448,52.10389018058777,True
subject_spec_transfer_last_conv_002_9,results\models\subject_spec_transfer_last_conv_002_9.pth,results\models\gen_loto_9.pth,subject_spec_transfer,002,,9,transfer,last_conv,2278,35,54,8,1.5465023517608643,1.3030794858932495,1.3030794858932495,59.23710536956787,True
subject_spec_transfer_last_conv_002_10,results\models\subject_spec_transfer_last_conv_002_10.pth,results\models\gen_loto_10.pth,subject_spec_transfer,002,,10,transfer,last_conv,2269,39,59,4,0.9972465634346008,0.9809967279434204,0.9809967279434204,44.743560552597046,True
subject_spec_transfer_last_conv_002_11,results\models\subject_spec_transfer_last_conv_002_11.pth,results\models\gen_loto_11.pth,subject_spec_transfer,002,,11,transfer,last_conv,2270,38,59,3,0.6467439532279968,0.5452784299850464,0.5452784299850464,41.23534107208252,True
subject_spec_transfer_last_conv_002_12,results\models\subject_spec_transfer_last_conv_002_12.pth,results\models\gen_loto_12.pth,subject_spec_transfer,002,,12,transfer,last_conv,2275,36,56,3,0.6700236201286316,0.6795223355293274,0.6795223355293274,41.81718158721924,True
subject_spec_transfer_last_conv_002_13,results\models\subject_spec_transfer_last_conv_002_13.pth,results\models\gen_loto_13.pth,subject_spec_transfer,002,,13,transfer,last_conv,2270,38,59,16,0.39247363805770874,0.4108359217643738,0.4108359217643738,88.26839709281921,True
subject_spec_transfer_last_conv_002_14,results\models\subject_spec_transfer_last_conv_002_14.pth,results\models\gen_loto_14.pth,subject_spec_transfer,002,,14,transfer,last_conv,2275,36,56,13,0.6426541805267334,0.419883668422699,0.419883668422699,76.79704999923706,True
subject_spec_transfer_last_conv_002_15,results\models\subject_spec_transfer_last_conv_002_15.pth,results\models\gen_loto_15.pth,subject_spec_transfer,002,,15,transfer,last_conv,2270,38,59,5,1.4044395685195923,1.433410406112671,1.433410406112671,57.43250584602356,True
subject_spec_transfer_last_conv_002_16,results\models\subject_spec_transfer_last_conv_002_16.pth,results\models\gen_loto_16.pth,subject_spec_transfer,002,,16,transfer,last_conv,2278,35,54,10,1.1715635061264038,1.0903829336166382,1.0903829336166382,68.29657769203186,True
subject_spec_transfer_last_conv_002_17,results\models\subject_spec_transfer_last_conv_002_17.pth,results\models\gen_loto_17.pth,subject_spec_transfer,002,,17,transfer,last_conv,2290,30,47,10,1.3005069494247437,1.2813292741775513,1.2813292741775513,66.36928701400757,True
subject_spec_transfer_last_conv_002_18,results\models\subject_spec_transfer_last_conv_002_18.pth,results\models\gen_loto_18.pth,subject_spec_transfer,002,,18,transfer,last_conv,2269,39,59,8,0.6226468086242676,0.5207940340042114,0.5207940340042114,59.75834035873413,True
subject_spec_transfer_last_conv_002_19,results\models\subject_spec_transfer_last_conv_002_19.pth,results\models\gen_loto_19.pth,subject_spec_transfer,002,,19,transfer,last_conv,2270,38,59,7,1.398363709449768,1.666520118713379,1.666520118713379,55.61766505241394,True
subject_spec_transfer_last_conv_002_20,results\models\subject_spec_transfer_last_conv_002_20.pth,results\models\gen_loto_20.pth,subject_spec_transfer,002,,20,transfer,last_conv,2269,39,59,2,0.9081751704216003,0.8157622218132019,0.8157622218132019,37.7111439704895,True
subject_spec_transfer_last_conv_002_21,results\models\subject_spec_transfer_last_conv_002_21.pth,results\models\gen_loto_21.pth,subject_spec_transfer,002,,21,transfer,last_conv,2275,36,56,8,1.6629483699798584,1.4810612201690674,1.4810612201690674,60.842912912368774,True
subject_spec_transfer_last_conv_002_22,results\models\subject_spec_transfer_last_conv_002_22.pth,results\models\gen_loto_22.pth,subject_spec_transfer,002,,22,transfer,last_conv,2269,39,59,6,0.6196852326393127,0.6591756939888,0.6591756939888,52.49363350868225,True
subject_spec_transfer_last_conv_002_23,results\models\subject_spec_transfer_last_conv_002_23.pth,results\models\gen_loto_23.pth,subject_spec_transfer,002,,23,transfer,last_conv,2269,39,59,2,0.5707886815071106,0.4495718479156494,0.4495718479156494,38.08571171760559,True
subject_spec_transfer_last_conv_002_24,results\models\subject_spec_transfer_last_conv_002_24.pth,results\models\gen_loto_24.pth,subject_spec_transfer,002,,24,transfer,last_conv,2270,38,59,8,1.801990270614624,1.6701241731643677,1.6701241731643677,59.38208079338074,True
subject_spec_transfer_last_conv_007_0,results\models\subject_spec_transfer_last_conv_007_0.pth,results\models\gen_loto_0.pth,subject_spec_transfer,007,,0,transfer,last_conv,2319,36,54,17,4.427618026733398,4.454362392425537,4.454362392425537,94.13284707069397,True
subject_spec_transfer_last_conv_007_1,results\models\subject_spec_transfer_last_conv_007_1.pth,results\models\gen_loto_1.pth,subject_spec_transfer,007,,1,transfer,last_conv,2311,39,59,12,1.2815356254577637,1.1390137672424316,1.1390137672424316,75.6906726360321,True
subject_spec_transfer_last_conv_007_2,results\models\subject_spec_transfer_last_conv_007_2.pth,results\models\gen_loto_2.pth,subject_spec_transfer,007,,2,transfer,last_conv,2319,36,54,13,1.4670294523239136,1.2598015069961548,1.2598015069961548,79.2531635761261,True
subject_spec_transfer_last_conv_007_3,results\models\subject_spec_transfer_last_conv_007_3.pth,results\models\gen_loto_3.pth,subject_spec_transfer,007,,3,transfer,last_conv,2312,38,59,16,2.0976860523223877,1.9159899950027466,1.9159899950027466,90.21287894248962,True
subject_spec_transfer_last_conv_007_4,results\models\subject_spec_transfer_last_conv_007_4.pth,results\models\gen_loto_4.pth,subject_spec_transfer,007,,4,transfer,last_conv,2312,38,59,16,3.2690887451171875,2.555147647857666,2.555147647857666,90.10841345787048,True
subject_spec_transfer_last_conv_007_5,results\models\subject_spec_transfer_last_conv_007_5.pth,results\models\gen_loto_5.pth,subject_spec_transfer,007,,5,transfer,last_conv,2317,36,56,5,2.4842910766601562,2.546039581298828,2.546039581298828,49.790977478027344,True
subject_spec_transfer_last_conv_007_6,results\models\subject_spec_transfer_last_conv_007_6.pth,results\models\gen_loto_6.pth,subject_spec_transfer,007,,6,transfer,last_conv,2311,39,59,9,2.0340237617492676,2.1078696250915527,2.1078696250915527,64.9001317024231,True
subject_spec_transfer_last_conv_007_7,results\models\subject_spec_transfer_last_conv_007_7.pth,results\models\gen_loto_7.pth,subject_spec_transfer,007,,7,transfer,last_conv,2311,39,59,5,2.9694855213165283,2.9438178539276123,2.9438178539276123,49.7918062210083,True
subject_spec_transfer_last_conv_007_8,results\models\subject_spec_transfer_last_conv_007_8.pth,results\models\gen_loto_8.pth,subject_spec_transfer,007,,8,transfer,last_conv,2311,39,59,3,0.9447097778320312,0.8294057250022888,0.8294057250022888,45.058531045913696,True
subject_spec_transfer_last_conv_007_9,results\models\subject_spec_transfer_last_conv_007_9.pth,results\models\gen_loto_9.pth,subject_spec_transfer,007,,9,transfer,last_conv,2312,38,59,12,1.139314889907837,1.225096344947815,1.225096344947815,80.17846846580505,True
subject_spec_transfer_last_conv_007_10,results\models\subject_spec_transfer_last_conv_007_10.pth,results\models\gen_loto_10.pth,subject_spec_transfer,007,,10,transfer,last_conv,2311,39,59,5,0.7644252181053162,0.6598566770553589,0.6598566770553589,50.54297184944153,True
subject_spec_transfer_last_conv_007_11,results\models\subject_spec_transfer_last_conv_007_11.pth,results\models\gen_loto_11.pth,subject_spec_transfer,007,,11,transfer,last_conv,2311,39,59,9,1.476890206336975,1.389374852180481,1.389374852180481,64.54854846000671,True
subject_spec_transfer_last_conv_007_12,results\models\subject_spec_transfer_last_conv_007_12.pth,results\models\gen_loto_12.pth,subject_spec_transfer,007,,12,transfer,last_conv,2311,39,59,2,0.8686048984527588,0.8672742247581482,0.8672742247581482,38.45782947540283,True
subject_spec_transfer_last_conv_007_13,results\models\subject_spec_transfer_last_conv_007_13.pth,results\models\gen_loto_13.pth,subject_spec_transfer,007,,13,transfer,last_conv,2311,39,59,5,1.272107720375061,1.2692152261734009,1.2692152261734009,50.170814990997314,True
subject_spec_transfer_last_conv_007_14,results\models\subject_spec_transfer_last_conv_007_14.pth,results\models\gen_loto_14.pth,subject_spec_transfer,007,,14,transfer,last_conv,2312,38,59,7,2.021973133087158,2.0333499908447266,2.0333499908447266,57.041579246520996,True
subject_spec_transfer_last_conv_007_15,results\models\subject_spec_transfer_last_conv_007_15.pth,results\models\gen_loto_15.pth,subject_spec_transfer,007,,15,transfer,last_conv,2311,39,59,3,2.5484580993652344,2.26391863822937,2.26391863822937,42.12258839607239,True
subject_spec_transfer_last_conv_007_16,results\models\subject_spec_transfer_last_conv_007_16.pth,results\models\gen_loto_16.pth,subject_spec_transfer,007,,16,transfer,last_conv,2311,39,59,3,0.861680269241333,0.8131259083747864,0.8131259083747864,44.67904853820801,True
