model_name,model_path,pretrained_weights,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,transfer_mode,n_train,n_val,n_test,best_epoch,best_val_loss,test_loss,test_ang_error,runtime_sec,stopped_early
subject_spec_transfer_last_two_conv_002_0,results\models\subject_spec_transfer_last_two_conv_002_0.pth,results\models\gen_loto_0.pth,subject_spec_transfer,002,,0,transfer,last_two_conv,2270,38,59,11,1.2373085021972656,1.2394522428512573,1.2394522428512573,22.63613748550415,True
subject_spec_transfer_last_two_conv_002_1,results\models\subject_spec_transfer_last_two_conv_002_1.pth,results\models\gen_loto_1.pth,subject_spec_transfer,002,,1,transfer,last_two_conv,2270,38,59,2,0.6565619111061096,0.5071284174919128,0.5071284174919128,13.90233588218689,True
subject_spec_transfer_last_two_conv_002_2,results\models\subject_spec_transfer_last_two_conv_002_2.pth,results\models\gen_loto_2.pth,subject_spec_transfer,002,,2,transfer,last_two_conv,2275,36,56,10,0.5857923626899719,0.5162668228149414,0.5162668228149414,18.24589228630066,True
subject_spec_transfer_last_two_conv_002_3,results\models\subject_spec_transfer_last_two_conv_002_3.pth,results\models\gen_loto_3.pth,subject_spec_transfer,002,,3,transfer,last_two_conv,2270,38,59,2,0.7396056652069092,0.6970811486244202,0.6970811486244202,17.806313037872314,True
subject_spec_transfer_last_two_conv_002_4,results\models\subject_spec_transfer_last_two_conv_002_4.pth,results\models\gen_loto_4.pth,subject_spec_transfer,002,,4,transfer,last_two_conv,2270,38,59,16,1.8472950458526611,1.786543607711792,1.786543607711792,21.612831830978394,True
subject_spec_transfer_last_two_conv_002_5,results\models\subject_spec_transfer_last_two_conv_002_5.pth,results\models\gen_loto_5.pth,subject_spec_transfer,002,,5,transfer,last_two_conv,2269,39,59,22,0.25474002957344055,0.25376591086387634,0.25376591086387634,20.267969131469727,True
subject_spec_transfer_last_two_conv_002_6,results\models\subject_spec_transfer_last_two_conv_002_6.pth,results\models\gen_loto_6.pth,subject_spec_transfer,002,,6,transfer,last_two_conv,2270,38,59,13,0.5724433064460754,0.5574036836624146,0.5574036836624146,17.052895307540894,True
subject_spec_transfer_last_two_conv_002_7,results\models\subject_spec_transfer_last_two_conv_002_7.pth,results\models\gen_loto_7.pth,subject_spec_transfer,002,,7,transfer,last_two_conv,2270,38,59,14,0.5479857921600342,0.6340273022651672,0.6340273022651672,17.487764358520508,True
subject_spec_transfer_last_two_conv_002_8,results\models\subject_spec_transfer_last_two_conv_002_8.pth,results\models\gen_loto_8.pth,subject_spec_transfer,002,,8,transfer,last_two_conv,2278,35,54,12,0.8466864228248596,0.8049637079238892,0.8049637079238892,17.427722692489624,True
subject_spec_transfer_last_two_conv_002_9,results\models\subject_spec_transfer_last_two_conv_002_9.pth,results\models\gen_loto_9.pth,subject_spec_transfer,002,,9,transfer,last_two_conv,2278,35,54,2,1.6168018579483032,1.3656035661697388,1.3656035661697388,13.658661842346191,True
subject_spec_transfer_last_two_conv_002_10,results\models\subject_spec_transfer_last_two_conv_002_10.pth,results\models\gen_loto_10.pth,subject_spec_transfer,002,,10,transfer,last_two_conv,2269,39,59,8,0.6372271776199341,0.5807070732116699,0.5807070732116699,15.254482746124268,True
subject_spec_transfer_last_two_conv_002_11,results\models\subject_spec_transfer_last_two_conv_002_11.pth,results\models\gen_loto_11.pth,subject_spec_transfer,002,,11,transfer,last_two_conv,2270,38,59,8,0.6129616498947144,0.46438923478126526,0.46438923478126526,15.393941879272461,True
subject_spec_transfer_last_two_conv_002_12,results\models\subject_spec_transfer_last_two_conv_002_12.pth,results\models\gen_loto_12.pth,subject_spec_transfer,002,,12,transfer,last_two_conv,2275,36,56,2,0.3006858229637146,0.29179102182388306,0.29179102182388306,13.369468212127686,True
