model_name,model_path,pretrained_weights,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,n_train,n_val,n_test,best_epoch,best_val_loss,test_loss,test_ang_error,runtime_sec,stopped_early
subject_spec_scratch_bcos_002_0,results\models\subject_spec_scratch_bcos_002_0.pth,,subject_spec_scratch_bcos,002,,0,scratch,2270,38,59,10,16.428695678710938,16.42892837524414,16.42892837524414,36.676132917404175,True
subject_spec_scratch_bcos_002_1,results\models\subject_spec_scratch_bcos_002_1.pth,,subject_spec_scratch_bcos,002,,1,scratch,2270,38,59,2,6.997651100158691,6.999731063842773,6.999731063842773,24.300060749053955,True
subject_spec_scratch_bcos_002_2,results\models\subject_spec_scratch_bcos_002_2.pth,,subject_spec_scratch_bcos,002,,2,scratch,2275,36,56,22,0.9871587753295898,0.9040670990943909,0.9040670990943909,43.580827713012695,True
subject_spec_scratch_bcos_002_3,results\models\subject_spec_scratch_bcos_002_3.pth,,subject_spec_scratch_bcos,002,,3,scratch,2270,38,59,4,11.175403594970703,11.176039695739746,11.176039695739746,26.19655966758728,True
subject_spec_scratch_bcos_002_4,results\models\subject_spec_scratch_bcos_002_4.pth,,subject_spec_scratch_bcos,002,,4,scratch,2270,38,59,6,15.518512725830078,15.508479118347168,15.508479118347168,28.085286855697632,True
subject_spec_scratch_bcos_002_5,results\models\subject_spec_scratch_bcos_002_5.pth,,subject_spec_scratch_bcos,002,,5,scratch,2269,39,59,6,15.739381790161133,15.752789497375488,15.752789497375488,28.48482084274292,True
subject_spec_scratch_bcos_002_6,results\models\subject_spec_scratch_bcos_002_6.pth,,subject_spec_scratch_bcos,002,,6,scratch,2270,38,59,4,7.580573081970215,7.583185195922852,7.583185195922852,26.000181674957275,True
subject_spec_scratch_bcos_002_7,results\models\subject_spec_scratch_bcos_002_7.pth,,subject_spec_scratch_bcos,002,,7,scratch,2270,38,59,33,0.6022073030471802,0.6113428473472595,0.6113428473472595,52.859952449798584,True
subject_spec_scratch_bcos_002_8,results\models\subject_spec_scratch_bcos_002_8.pth,,subject_spec_scratch_bcos,002,,8,scratch,2278,35,54,1,6.642605304718018,6.644809246063232,6.644809246063232,24.056931257247925,True
subject_spec_scratch_bcos_002_9,results\models\subject_spec_scratch_bcos_002_9.pth,,subject_spec_scratch_bcos,002,,9,scratch,2278,35,54,1,12.310724258422852,12.308011054992676,12.308011054992676,23.252479314804077,True
